DATE,Price_Index
2015-01-01,176.115841846547
2015-02-01,176.859400655769
2015-03-01,176.693632918216
2015-04-01,177.647803231287
2015-05-01,178.213474198593
2015-06-01,178.656399990177
2015-07-01,178.833058106041
2015-08-01,179.11669698682
2015-09-01,179.338117626895
2015-10-01,179.705097100295
2015-11-01,180.300224313323
2015-12-01,180.444763267844
2016-01-01,180.456043191984
2016-02-01,180.786820857503
2016-03-01,181.249919206557
2016-04-01,182.030386722405
2016-05-01,182.181071258504
2016-06-01,182.792900451355
2016-07-01,183.226024933949
2016-08-01,183.691057291027
2016-09-01,183.77806438178
2016-10-01,183.830029153788
2016-11-01,184.998563428976
2016-12-01,185.710616602937
2017-01-01,186.996721884303
2017-02-01,187.61105560553
2017-03-01,188.564239573202
2017-04-01,189.35433558826
2017-05-01,189.827435856267
2017-06-01,190.035065174844
2017-07-01,190.751265607062
2017-08-01,192.022772153993
2017-09-01,193.464613352732
2017-10-01,194.498443814475
2017-11-01,195.244194908756
2017-12-01,195.756730547808
2018-01-01,196.553569216876
2018-02-01,198.229546153749
2018-03-01,197.858887391371
2018-04-01,197.424739748416
2018-05-01,197.630884238362
2018-06-01,197.940631459566
2018-07-01,197.898426255136
2018-08-01,198.683138847579
2018-09-01,199.45706874979
2018-10-01,200.204013703974
2018-11-01,200.719262072742
2018-12-01,201.210986635417
2019-01-01,201.559851851851
2019-02-01,202.166879143696
2019-03-01,200.888417703004
2019-04-01,200.671964657852
2019-05-01,200.677241287154
2019-06-01,200.469753795238
2019-07-01,200.088871957024
2019-08-01,200.826861884239
2019-09-01,201.487405835341
2019-10-01,202.247865392366
2019-11-01,202.441262564202
2019-12-01,203.186646924005
2020-01-01,203.601668545568
2020-02-01,205.297163447218
2020-03-01,204.811571412774
2020-04-01,204.60449187774
2020-05-01,204.035787077307
2020-06-01,203.926179535471
2020-07-01,204.514026269083
2020-08-01,207.892553467099
2020-09-01,211.711805738404
2020-10-01,216.059728634002
2020-11-01,220.665028076395
2020-12-01,224.44078907213
2021-01-01,227.914002411597
2021-02-01,230.800896007383
2021-03-01,232.564704343721
2021-04-01,234.849072335098
2021-05-01,237.423754997216
2021-06-01,239.673410977494
2021-07-01,241.998688395061
2021-08-01,244.29847397873
2021-09-01,246.476049577066
2021-10-01,248.699708396321
2021-11-01,251.412258756178
2021-12-01,254.875658771136
2022-01-01,258.004077908856
2022-02-01,262.332764139366
2022-03-01,265.585193434736
2022-04-01,269.459486573421
2022-05-01,272.270923141797
2022-06-01,275.071001321001
2022-07-01,275.365752347704
2022-08-01,275.354423116862
2022-09-01,274.211672160491
2022-10-01,273.848529170221
2022-11-01,274.155762157963
2022-12-01,274.201245326314
